experiment_id,gene,missing_all,missing_labelled,missing_interior,missing_boundary,largest_connected_gap,slab_score,intensity_score
71836809,Pip5k1c,0.380672,0.0694103,0.0661405,0.0900639,2448,0.69094,0.198288
72129251,Myl4,0.361611,0.0375641,0.0306509,0.0812318,1658,0.0498643,0.207105
74047916,Glo1,0.40124,0.0890262,0.0800677,0.145613,2383,1,0.423544
1635,Letmd1,0.391041,0.0654553,0.0553777,0.129111,1199,0.455569,0.0839818
73592539,Trpc2,0.421545,0.0839276,0.0727269,0.154678,1658,0.815401,0.419456
75651139,Bcl6,0.373015,0.0861195,0.0806932,0.120395,2314,0.653119,0.402804
72119655,Chrna3,0.46445,0.164694,0.163649,0.171296,3082,1,0.224816
74819689,Tubb2a,0.386271,0.0441875,0.0363175,0.0938989,882,0.846649,0.238124
74583149,Vav2,0.396702,0.0389777,0.0326011,0.0792562,1145,0.514793,0.143626
72338695,Pcdhga5,0.376781,0.0229514,0.0166133,0.0629866,882,0.0455754,0.162456
74657931,Chst10,0.396652,0.0892803,0.0851271,0.115514,2393,1,0.354686
996,Son,0.394518,0.0386283,0.0243772,0.128646,882,0.0499719,0.155491
70813929,Tmem176a,0.417346,0.118776,0.114527,0.145613,1877,0.503223,0.278307
79488939,Igsf5,0.405289,0.121889,0.111068,0.190238,1693,1,0.0428237
72472789,Vwa3a,0.383126,0.0734287,0.0697281,0.0968042,1931,1,0.104606
74750077,Atp11c,0.404962,0.0555759,0.0507782,0.0858803,1215,1,0.136309
75042247,Adra1a,0.364046,0.0691879,0.064779,0.0970366,1409,0.505942,0.161734
73930841,Dexi,0.359703,0.0529869,0.047117,0.0900639,1409,1,0.289449
496,Ghrh,0.433715,0.0571324,0.0404754,0.162347,1643,0.114689,0.0581785
75651160,Ccdc3,0.347545,0.0423133,0.0357103,0.0840209,1409,0.897033,0.101304
79591629,Cdh4,0.394895,0.12038,0.119108,0.128414,1145,0.737068,0.235587
71670729,Sh3rf2,0.396407,0.0822599,0.0732421,0.139221,1379,1,0.581829
1792,Nr4a1,0.430451,0.0415826,0.0255547,0.142824,882,0.0739514,0.187494
73520994,Kit,0.413963,0.140393,0.135206,0.173155,3097,0.623675,0.125312
73512367,Sprn,0.405201,0.0947283,0.0906281,0.120628,1145,0.610125,0.175892
72283794,Lhcgr,0.373731,0.0475865,0.0420024,0.0828588,1409,1,0.0736195
2226,Fnta,0.439414,0.0511762,0.0343857,0.157234,1409,0.0537114,0.158957
71016583,Rbp4,0.350288,0.0274147,0.0222983,0.0597327,1200,0.0448065,0.361112
71924375,Acaa2,0.395755,0.0357375,0.0293815,0.0758861,1145,0.699842,0.0748883
75079775,Mt3,0.390118,0.0710304,0.0673547,0.0942475,1361,1,0.316486
72129291,Hpca,0.339926,0.0394066,0.0328771,0.0806508,1145,1,0.120498
75041491,Slc36a1,0.388995,0.0582919,0.051367,0.102034,1409,1,0.333454
1734,Gng7,0.407561,0.0405502,0.0254995,0.135619,882,0.0659681,0.273506
73512377,Asap1,0.349202,0.0266681,0.0216727,0.058222,1145,0.10989,0.173033
74882195,Creg2,0.368295,0.0415826,0.0369982,0.0705404,653,1,0.224468
73615550,Adra2a,0.357293,0.0401849,0.036575,0.0629866,1347,1,0.186219
2491,Pnrc2,0.4392,0.0896615,0.074346,0.186403,1413,0.430309,0.199239
74988721,Ubr3,0.353332,0.0227291,0.0162822,0.0634515,882,0.0427096,0.245083
1268,Prlr,0.487014,0.05664,0.0363175,0.185009,980,0.0706727,0.178812
67936207,Itm2c,0.425467,0.0980638,0.0932038,0.128762,2573,0.981685,0.13546
73732145,Isoc1,0.363814,0.11598,0.114325,0.126438,5069,0.662767,0.331927
2466,Pax9,0.384589,0.0358646,0.0273025,0.0899477,1337,0.139245,0.228662
75773699,Opn1sw,0.384514,0.0756206,0.0709607,0.105055,1409,0.736567,0.285312
588,Ifnar1,0.466998,0.154593,0.14389,0.222196,955,0.457129,0.121021
75042237,Fam46a,0.443387,0.183246,0.183335,0.182684,2701,1,0.188667
74658090,Me2,0.386447,0.0389301,0.031994,0.0827426,921,0.385417,0.269315
79591611,Grm2,0.370925,0.0721581,0.0676491,0.100639,1658,0.783736,0.227147
